bigram	frequency
disbursement arrangements	27
government staff	27
country reports	27
au financement	27
nacional de	27
terms defined	27
appendix ii	27
development specialist	27
sector project	27
emp incorporated	27
job opportunities	27
performance standards	27
annex iv	27
sector support	27
financial institution	27
con el	27
project title	27
department databases	27
policy will	27
foreign currency	27
sector program	27
grant program	27
financing project	27
detailed description	27
gdp per	27
small irrigation	27
financing sources	27
new project	27
central africa	27
economic impacts	27
procurement process	27
ante economic	27
political instability	27
enrolment ratio	27
will set	27
procurement capacity	27
gross enrolment	27
critical natural	27
region recovery	27
target means	27
health personnel	27
governing bodies	27
million ida	27
unemployment rate	27
physical infrastructure	27
category concept	27
planned activities	27
technical committee	27
project outcomes	27
sized agricultural	27
will comply	27
gardening areas	27
oecs regional	27
activities may	27
note approval	27
increasing productivity	27
regional technology	27
agricultural systems	27
input supply	27
financial products	27
delivery infrastructure	27
fertility rate	27
project related	27
research institutes	27
south asia	27
ua usd	27
selected crops	26
generated content	26
direct payments	26
focus areas	26
irrigated area	26
employment creation	26
will coordinate	26
study tours	26
civil war	26
loan section	26
training centres	26
de services	26
intermediate report	26
results based	26
main milestones	26
sector actors	26
strategy will	26
indicators gross	26
agreement establishing	26
chain competitiveness	26
direct project	26
north cameroon	26
management approach	26
even though	26
based approach	26
project performance	26
crude birth	26
producer associations	26
shall apply	26
bank congo	26
loan number	26
agreement will	26
economic governance	26
help improve	26
annual audit	26
pour les	26
regional unit	26
sector strategy	26
des producteurs	26
tropical agriculture	26
increased production	26
fertility management	26
sector competitiveness	26
natural region	26
agricultural intensification	26
providing support	26
household level	26
information ops	26
second pillar	26
technical specifications	26
congo commercial	26
innovation program	26
green gabon	26
management hereby	26
project yes	26
social measures	26
sr agricultural	26
internal monitoring	26
industrial park	26
gef project	26
best practice	26
strategic alignment	26
newfin total	26
september march	26
relevant stakeholders	26
specific esmps	26
contract farming	26
will mainly	26
may th	26
timely manner	26
parcours et	26
regional disparities	26
agricultural projects	26
food systems	26
la coordination	26
program management	26
de coordination	26
irrigation project	26
agriculture remains	26
unit responsible	26
professional associations	26
sex ratio	26
agribusiness sector	26
cause mowram	26
health nutrition	26
services shall	26
project agreement	26
bank website	26
feasibility nanni	26
bank guinea	26
table basic	26
financing ministry	26
recommendation management	26
arrangements set	26
market infrastructure	26
export earnings	26
forest landscape	26
technical skills	26
nutritional status	26
education indicators	26
diffa region	26
regional agriculture	26
applied research	26
disaggregated data	26
will submit	26
agroforestry technological	26
strategic environmental	26
prior agreement	26
add value	26
related projects	26
cabinda province	26
support infrastructure	26
mitigation actions	26
agricultural household	25
de desarrollo	25
process will	25
smallholder irrigated	25
public resources	25
cameroon agriculture	25
mainly due	25
project overview	25
indigenous communities	25
per female	25
indicators population	25
implementation plan	25
financing structure	25
countries basic	25
independent audit	25
current account	25
water smart	25
loan allocated	25
strategic grain	25
financing information	25
teaching staff	25
trained health	25
avec les	25
environmental monitoring	25
amount disbursed	25
bank north	25
security program	25
investment support	25
development goal	25
project procurement	25
school female	25
oil sector	25
assessment track	25
project level	25
terms used	25
conditions applicable	25
female teaching	25
rural property	25
indicators area	25
gender inequalities	25
ecosystem services	25
child labor	25
inclusive value	25
financial control	25
nanni swamp	25
member countries	25
smart landscapes	25
population lives	25
will carry	25
regulatory environment	25
gross value	25
performance contracts	25
also expected	25
regulations shall	25
disease management	25
africa develo	25
women using	25
target areas	25
fisheries productivity	25
wealth creation	25
indicators land	25
major watersheds	25
crude death	25
country diagnostic	25
transformation strategy	25
death rate	25
northern regions	25
sector policies	25
dry season	25
young graduates	25
sur la	25
irrigation canals	25
ping countries	25
agronomic practices	25
provide guidance	25
rural organizations	25
agriculture policy	25
basic indicators	25
productive capital	25
receive financing	25
will participate	25
based violence	25
information will	25
evaluation specialist	25
following sections	25
mayor http	25
ex penditure	25
social specialist	25
will identify	25
grant will	25
total bank	25
regional markets	25
implementation units	25
made significant	25
bank operations	25
national adaptation	25
will likely	25
three pillars	25
level indicators	25
capita co	25
rank among	25
washing stations	25
whose qualifications	25
means adb	25
african agriculture	25
water sources	25
living standards	25
harvest management	25
using contraception	25
intervention will	25
farm production	25
rural employment	25
agricultural credit	24
local actors	24
ii abbreviations	24
costs associated	24
requirements included	24
financing agreements	24
command area	24
food programme	24
potential impact	24
na op	24
remains high	24
national irrigation	24
advance contracting	24
prior approval	24
activities op	24
implementation capacity	24
contents abbreviations	24
nut sector	24
account method	24
beneficiary farmers	24
gender gap	24
hurricane matthew	24
national policy	24
cold chain	24
name component	24
org en	24
fiduciary team	24
integral part	24
estimated shortfall	24
schedule allocation	24
evaluation mechanism	24
category appears	24
management policy	24
forth herein	24
management program	24
building support	24
participatory planning	24
national levels	24
two sub	24
increased food	24
country strategic	24
comp table	24
farm income	24
